experiment_name,experiment_label,evaluation_kind,model_name,model_display_name,model_slug,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,micro_tp,micro_fp,micro_fn
single_pass,Single-pass,span_weak,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,0.8288907996560619,0.964,0.8913546000924641,0.8307054022717604,0.964,0.8921196030164957,964,199,36
single_pass,Single-pass,span_strict,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,0.7687016337059329,0.894,0.826629680998613,0.7709101878902311,0.894,0.8276390734416212,894,269,106
single_pass,Single-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,0.9966555183946488,0.894,0.9425408539799685,0.9966982847048484,0.894,0.9419995578101454,894,3,106
single_pass,Single-pass,span_weak,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,0.8026644462947544,0.964,0.8759654702407995,0.8073685299519557,0.964,0.8780173283397373,964,237,36
single_pass,Single-pass,span_strict,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,0.746044962531224,0.896,0.814175374829623,0.7517204635278906,0.896,0.8168628188386594,896,305,104
single_pass,Single-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,0.996662958843159,0.896,0.9436545550289626,0.9968922533520799,0.896,0.9423543302936308,896,3,104
single_pass,Single-pass,span_weak,z-ai/glm-5,glm-5,z-ai__glm-5,0.8114617940199336,0.977,0.8865698729582577,0.8233503722554818,0.977,0.8909654890068464,977,227,23
single_pass,Single-pass,span_strict,z-ai/glm-5,glm-5,z-ai__glm-5,0.7616279069767442,0.917,0.8321234119782215,0.7732604986254622,0.9169999999999999,0.836505818578537,917,287,83
single_pass,Single-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,0.9989106753812637,0.917,0.9562043795620438,0.9989626556016598,0.9169999999999999,0.955665831561744,917,1,83
multi_pass,Multi-pass,span_weak,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,0.8350515463917526,0.972,0.8983364140480591,0.8355986993973623,0.972,0.8985896915045504,972,192,28
multi_pass,Multi-pass,span_strict,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,0.7835051546391752,0.912,0.8428835489833642,0.7844440806385156,0.912,0.8433668973507632,912,252,88
multi_pass,Multi-pass,label_prediction,minimax/minimax-m2.7,minimax-m2.7,minimax__minimax-m2.7,0.9989047097480832,0.912,0.9534762153685311,0.9989711934156379,0.912,0.952739964773404,912,1,88
multi_pass,Multi-pass,span_weak,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,0.8111401218450827,0.932,0.8673801768264309,0.8144496829901892,0.9319999999999999,0.8687336567748559,932,217,68
multi_pass,Multi-pass,span_strict,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,0.7493472584856397,0.861,0.8013029315960912,0.7535960672751494,0.861,0.8032401318662853,861,288,139
multi_pass,Multi-pass,label_prediction,qwen/qwen3.5-9b,qwen3.5-9b,qwen__qwen3.5-9b,0.9965277777777778,0.861,0.9238197424892703,0.9967718261709679,0.861,0.9226162190961127,861,3,139
multi_pass,Multi-pass,span_weak,z-ai/glm-5,glm-5,z-ai__glm-5,0.8172673931265717,0.975,0.8891928864569084,0.8293036179477723,0.975,0.893685165041889,975,218,25
multi_pass,Multi-pass,span_strict,z-ai/glm-5,glm-5,z-ai__glm-5,0.7711651299245599,0.92,0.8390332877336981,0.782997149037551,0.9199999999999999,0.8435439878869457,920,273,80
multi_pass,Multi-pass,label_prediction,z-ai/glm-5,glm-5,z-ai__glm-5,0.998914223669924,0.92,0.9578344612181157,0.9989711934156379,0.9199999999999999,0.9572632128381311,920,1,80
